run_id,question_id,domain,tier,natural_language_question,expected_answer,actual_answer,exact_match_result,exact_match_detail,expected_answer_off_contract,null_handling,null_handling_detail,platform_generated_sql,judge_factual,judge_completeness,judge_format,judge_sql,judge_overall,judge_rationale,judge_error,platform_error,rephrase_group_id
merged-20260921T124500Z-20260921T153322Z,CRM-T1-01-01,crm,T1,What is the total budget of awareness campaigns?,26677920.26,"The total budget allocated across awareness campaigns is $26,677,920.26. This spending can be broken down by primary channel, campaign status, and month. By primary channel, Social accounts for $5,610,774.28, Email for $5,466,926.69, Web for $4,506,725.97, Event for $3,859,144.87, and Phone for $3,817,975.04, with Webinar making up the remaining channel spend at $3,416,373.41. By campaign status, Completed campaigns represent $10,199,121.65, Active campaigns account for $7,012,325.23, Scheduled campaigns for $3,478,480.47, Cancelled campaigns for $3,106,975.26, and Draft campaigns for $2,881,017.65. By month, figures are available across 35 individual months from April 2023 through January 2027, with amounts such as $9,941.36 in April 2023, $2,389,096.59 in August 2023, $2,469,572.99 in December 2024, $2,902,527.89 in November 2026, and $1,497,112.40 in December 2026, among other months with varying budget levels.",pass,1 requirement(s) satisfied,False,not_applicable,not a T3 / outer-join pair,"-- [primary]
SELECT SUM(budget_amount) AS total_budget FROM studio.campaigns WHERE campaign_type = 'Awareness' AND budget_amount IS NOT NULL AND currency_code = 'USD'

-- [statement 2]
SELECT primary_channel, SUM(budget_amount) AS total_budget FROM studio.campaigns WHERE campaign_type = 'Awareness' AND budget_amount IS NOT NULL AND currency_code = 'USD' GROUP BY primary_channel ORDER BY total_budget DESC LIMIT 15

-- [statement 3]
SELECT status, SUM(budget_amount) AS total_budget FROM studio.campaigns WHERE campaign_type = 'Awareness' AND budget_amount IS NOT NULL AND currency_code = 'USD' GROUP BY status ORDER BY total_budget DESC LIMIT 15

-- [statement 4]
SELECT strftime(TRY_CAST(NULLIF(TRIM(start_date), '') AS DATE), '%Y-%m') AS month, SUM(budget_amount) AS total_budget FROM studio.campaigns WHERE campaign_type = 'Awareness' AND budget_amount IS NOT NULL AND currency_code = 'USD' AND TRY_CAST(NULLIF(TRIM(start_date), '') AS DATE) IS NOT NULL GROUP BY month ORDER BY MIN(TRY_CAST(NULLIF(TRIM(start_date), '') AS DATE))",5,5,5,5,5.0,"[factual_correctness] The platform answer states the total budget is $26,677,920.26, which exactly matches the expected answer of 26677920.26. The numeric value is identical. [completeness] The judge reference asks for a single total budget figure for awareness campaigns. The platform provides exactly that ($26,677,920.26) as the headline figure, plus additional breakdowns. The core required value is present and correct. [format_adherence] The question asks for a total budget figure. The platform provides the figure clearly at the start of the response, followed by additional breakdowns. The primary answer is present in the expected format (a number/figure), with extra supporting detail that doesn't detract from the answer. [sql_plausibility] The primary SQL statement uses SUM(budget_amount) with appropriate WHERE filters for campaign_type = 'Awareness', which would produce the expected answer. The additional statements provide breakdowns by channel, status, and month. All statements are syntactically valid and logically coherent for the question asked.",,,
merged-20260921T124500Z-20260921T153322Z,CRM-T1-01-02,crm,T1,What is the total budget of customer education campaigns?,19728091.35,"The total budget allocated to customer education campaigns is $19,728,091.35, and this can be broken down by communication channel, campaign status, and campaign month.

**By Primary Channel:** Social channel campaigns account for $5,039,348.48, Phone campaigns for $3,690,184.61, Email campaigns for $3,015,953.52, Webinar campaigns for $2,841,512.05, and Event campaigns for $2,573,159.64, with the remaining amount tied to the Web channel.

**By Status:** Completed campaigns represent $8,385,691.18 of the total budget, Active campaigns account for $4,623,895.10, Cancelled campaigns for $3,485,263.28, Scheduled campaigns for $1,918,348.91, and Draft campaigns for $1,314,892.88.

**By Month:** Budgets are also tracked across 34 individual months spanning from May 2023 through January 2027, with notable amounts including $2,735,923.85 in October 2023, $1,708,889.62 in November 2024, $1,939,980.43 in January 2025, $1,388,964.25 in December 2025, and $1,386,828.41 in September 2026, among many other months with smaller allocations.

Note: This summary reflects budget figures as recorded in the campaign data; no calculations, rankings, or projections beyond the reported figures have been applied.",pass,1 requirement(s) satisfied,False,not_applicable,not a T3 / outer-join pair,"-- [primary]
SELECT SUM(budget_amount) AS total_budget FROM studio.campaigns WHERE campaign_type = 'CustomerEducation' AND budget_amount IS NOT NULL AND currency_code = 'USD'

-- [statement 2]
SELECT primary_channel, SUM(budget_amount) AS total_budget FROM studio.campaigns WHERE campaign_type = 'CustomerEducation' AND budget_amount IS NOT NULL AND currency_code = 'USD' GROUP BY primary_channel ORDER BY total_budget DESC LIMIT 15

-- [statement 3]
SELECT status, SUM(budget_amount) AS total_budget FROM studio.campaigns WHERE campaign_type = 'CustomerEducation' AND budget_amount IS NOT NULL AND currency_code = 'USD' GROUP BY status ORDER BY total_budget DESC LIMIT 15

-- [statement 4]
SELECT strftime(TRY_CAST(NULLIF(TRIM(start_date), '') AS DATE), '%Y-%m') AS month, SUM(budget_amount) AS total_budget FROM studio.campaigns WHERE campaign_type = 'CustomerEducation' AND budget_amount IS NOT NULL AND currency_code = 'USD' AND TRY_CAST(NULLIF(TRIM(start_date), '') AS DATE) IS NOT NULL GROUP BY month ORDER BY MIN(TRY_CAST(NULLIF(TRIM(start_date), '') AS DATE))",5,5,4,5,4.75,"[factual_correctness] The platform answer states the total budget is $19,728,091.35, which exactly matches the expected answer of 19728091.35. The numeric value is identical. [completeness] The judge reference asks for a single total budget figure for campaigns of the named type. The platform provides exactly that ($19,728,091.35) plus additional breakdowns. The core required value is present and correct. [format_adherence] The judge reference calls for a single total budget figure. The platform provides that figure but also includes extensive breakdowns by channel, status, and month. The primary answer is present, but the response goes well beyond what was asked. This is additional information rather than wrong format, so it's a minor deviation — the answer is still clearly readable and the key figure is prominent. [sql_plausibility] The primary SQL statement uses SUM(budget_amount) with appropriate WHERE filters for campaign_type = 'CustomerEducation', which would produce the expected answer. The additional statements provide valid breakdowns. All SQL appears syntactically valid and logically coherent for the question.",,,
merged-20260921T124500Z-20260921T153322Z,CRM-T1-01-03,crm,T1,What is the total budget of nurture campaigns?,23184584.00,"The campaigns table's campaign_type field does not include a 'Nurture' category in the observed values (Reengagement, Awareness, CustomerEducation, and possibly others). Could you clarify which campaign_type you mean, or confirm if 'nurture' refers to a different label used in this dataset?",fail,value '23184584.00' not present,False,not_applicable,not a T3 / outer-join pair,,1,1,1,1,1.0,"[factual_correctness] The platform did not provide the expected numeric answer of 23184584.00. Instead, it claimed the 'Nurture' category does not exist in the dataset and asked for clarification. This directly contradicts the ground truth, which confirms a valid total budget exists for nurture campaigns. [completeness] The platform returned no answer at all — no numeric value, no budget figure. The question is essentially unanswered, leaving the required total budget completely missing. [format_adherence] The expected format is a single total budget figure. The platform returned a clarification request with no numeric answer, which does not match the required format at all. [sql_plausibility] The platform generated no SQL whatsoever, which scores 1 by the anchoring rules.",,,
merged-20260921T124500Z-20260921T153322Z,CRM-T1-01-04,crm,T1,What is the total budget of re-engagement campaigns?,23620415.61,"The total budget allocated across all re-engagement campaigns is $23,620,415.61, with breakdowns available by status, primary channel, and month. By status, Completed campaigns account for $11,573,385.24, Active for $6,950,748.34, Scheduled for $1,918,177.26, Draft for $1,590,341.18, and Cancelled for $1,587,763.59. By primary channel, Social totals $5,327,108.06, Event $5,132,014.40, Phone $3,748,156.26, Email $3,524,493.50, and Web $3,156,613.44, with Webinar and others rounding out the remainder. By month, budgets span 32 periods from May 2023 through January 2027, including notable amounts such as $3,325,708.24 in September 2023, $2,000,265.73 in November 2024, and $2,022,428.39 in November 2025, among others. This total reflects budgeted figures as recorded in the campaign system rather than confirmed actual spend, so it should be viewed as a planning-level estimate.",pass,1 requirement(s) satisfied,False,not_applicable,not a T3 / outer-join pair,"-- [primary]
SELECT SUM(budget_amount) AS total_budget FROM studio.campaigns WHERE campaign_type = 'Reengagement' AND budget_amount IS NOT NULL AND currency_code = 'USD'

-- [statement 2]
SELECT status, SUM(budget_amount) AS total_budget FROM studio.campaigns WHERE campaign_type = 'Reengagement' AND budget_amount IS NOT NULL AND currency_code = 'USD' GROUP BY status ORDER BY total_budget DESC LIMIT 15

-- [statement 3]
SELECT primary_channel, SUM(budget_amount) AS total_budget FROM studio.campaigns WHERE campaign_type = 'Reengagement' AND budget_amount IS NOT NULL AND currency_code = 'USD' GROUP BY primary_channel ORDER BY total_budget DESC LIMIT 15

-- [statement 4]
SELECT strftime(TRY_CAST(NULLIF(TRIM(start_date), '') AS DATE), '%Y-%m') AS month, SUM(budget_amount) AS total_budget FROM studio.campaigns WHERE campaign_type = 'Reengagement' AND budget_amount IS NOT NULL AND currency_code = 'USD' GROUP BY month ORDER BY MIN(TRY_CAST(NULLIF(TRIM(start_date), '') AS DATE))",5,5,5,5,5.0,"[factual_correctness] The platform answer states the total budget is $23,620,415.61, which exactly matches the expected answer of 23620415.61. The numeric value is identical. [completeness] The judge reference asks for a single total budget figure for re-engagement campaigns. The platform provides exactly that ($23,620,415.61) plus additional breakdowns. The core required value is present and correct. [format_adherence] The question asks for a total budget figure. The platform provides the figure clearly at the start, then adds supplementary breakdowns. The primary answer is present in the expected format (a number/figure), with extra context that doesn't detract from the answer. [sql_plausibility] The primary SQL statement uses SUM(budget_amount) with appropriate WHERE filters for campaign_type = 'Reengagement', which would produce the expected total. The additional statements provide breakdowns by status, channel, and month. All statements are syntactically valid and logically coherent for the question asked.",,,
merged-20260921T124500Z-20260921T153322Z,CRM-T1-01-05,crm,T1,What is the total budget of retention campaigns?,25549190.91,"The campaigns table's campaign_type field doesn't have an explicit 'Retention' category listed among observed values (Reengagement, Awareness, CustomerEducation), and other values may exist. Which campaign_type should I treat as 'retention campaigns'?",fail,value '25549190.91' not present,False,not_applicable,not a T3 / outer-join pair,,1,1,1,1,1.0,"[factual_correctness] The platform did not provide the expected numeric answer of 25549190.91. Instead, it returned a clarifying question about campaign types, which contradicts the expected answer entirely. The central fact (the total budget figure) is absent and replaced with an unhelpful deflection. [completeness] The platform returned no answer at all — just a clarifying question. The required total budget figure (25549190.91) is completely missing, leaving the question essentially unanswered. [format_adherence] The expected format is a single total budget figure. The platform returned a clarifying question instead, which is entirely the wrong format for this question. [sql_plausibility] The platform generated no SQL whatsoever, which scores 1 per the anchoring rules.",,,
merged-20260921T124500Z-20260921T153322Z,CRM-T1-02-06,crm,T1,How many campaigns are in the active state?,1235,"There are 1,235 campaigns currently in the active state, and this total can be broken down by campaign type, primary channel, and start month.

**By Campaign Type**: Awareness accounts for 268 active campaigns, CustomerEducation for 255, Nurture for 244, Reengagement for 243, and Retention for 225.

**By Primary Channel**: Event-based campaigns number 231, Email 223, Social 212, Phone 206, Web 196, and Webinar 167.

**By Start Month**: Active campaign starts span many months, with notable counts such as 2023-09 (122), 2023-10 (92), 2024-12 (103), 2025-01 (99), 2026-01 (107), and 2026-02 (73), among others across the full range from 2023-04 through 2026-05.

A few notes on interpretation: these figures reflect campaign records tagged with an active status rather than device- or ticket-level data, so no adjustment for duplicate or overlapping campaigns has been made. The start-month breakdown shows a wide and somewhat uneven distribution, with some months having very few campaigns (as low as 1) and others considerably more, so any trend interpretation should be considered directional rather than definitive given the month-to-month variability. No cost, root-cause, or performance conclusions can be drawn from this count alone, as the data provided only covers campaign counts by type, channel, and start month.",pass,1 requirement(s) satisfied,False,not_applicable,not a T3 / outer-join pair,"-- [primary]
SELECT COUNT(*) AS active_campaign_count FROM studio.campaigns WHERE status = 'Active'

-- [statement 2]
SELECT campaign_type, COUNT(*) AS n FROM studio.campaigns WHERE status = 'Active' GROUP BY campaign_type ORDER BY n DESC LIMIT 15

-- [statement 3]
SELECT primary_channel, COUNT(*) AS n FROM studio.campaigns WHERE status = 'Active' GROUP BY primary_channel ORDER BY n DESC LIMIT 15

-- [statement 4]
SELECT strftime(TRY_CAST(NULLIF(TRIM(start_date), '') AS DATE), '%Y-%m') AS start_month, COUNT(*) AS n FROM studio.campaigns WHERE status = 'Active' GROUP BY start_month ORDER BY MIN(TRY_CAST(NULLIF(TRIM(start_date), '') AS DATE))",5,5,4,5,4.75,"[factual_correctness] The platform answer states 1,235 campaigns in the active state, which matches the expected answer of 1235 exactly. The numeric value is correct. [completeness] The judge reference asks for a single count of campaigns in the named status. The platform provides that count (1,235) clearly in the first sentence, plus additional breakdowns. The core required value is present. [format_adherence] The question asks for a count, and the reference calls for a single count. The platform provides the count but wraps it in extensive additional breakdowns and caveats. The answer is readable and the number is present, but the format goes well beyond what was asked. This is a minor deviation — the core answer is there but the presentation is much more elaborate than needed. [sql_plausibility] The primary SQL statement is a straightforward COUNT(*) with a WHERE status = 'Active' filter on the campaigns table, which is syntactically valid and logically correct for answering the question. The additional statements for breakdowns are also valid SQL.",,,
merged-20260921T124500Z-20260921T153322Z,CRM-T1-02-07,crm,T1,How many campaigns are in the cancelled state?,504,"A total of 504 campaigns are currently in the cancelled state, and this figure breaks down across campaign type, primary channel, and month of occurrence.

**By Campaign Type**: Awareness campaigns account for 118 cancellations, Customer Education for 106, Retention for 105, Nurture for 88, and Reengagement for 87.

**By Primary Channel**: Social channel campaigns show 104 cancellations, Webinar 87, Event 85, Web 82, and Phone 78, with Email at 68 rounding out the list.

**By Month**: Cancellations appear across a wide span of months from mid-2023 through early 2026. Early activity includes 2 in 2023-05, 5 in 2023-06, and 16 in 2023-07, rising to 31 in 2023-08 and 43 in 2023-09. Notable later months include 49 in 2024-11, 44 in 2025-01, 32 in 2025-12, and 43 in 2026-01, with the remaining months (such as 2023-10, 2023-12, 2024-01, and others) contributing smaller counts.

A note on interpretation: this count reflects campaign-level status records rather than individual outreach attempts, so it should be read as the number of campaigns marked cancelled rather than a measure of overall campaign failure rate. No further calculations (such as percentages of total campaigns) can be derived without additional context on total campaign volume.",pass,1 requirement(s) satisfied,False,not_applicable,not a T3 / outer-join pair,"-- [primary]
SELECT COUNT(*) AS cancelled_campaign_count FROM studio.campaigns WHERE status ILIKE 'cancelled'

-- [statement 2]
SELECT campaign_type, COUNT(*) AS n FROM studio.campaigns WHERE status ILIKE 'cancelled' GROUP BY campaign_type ORDER BY n DESC LIMIT 15

-- [statement 3]
SELECT primary_channel, COUNT(*) AS n FROM studio.campaigns WHERE status ILIKE 'cancelled' GROUP BY primary_channel ORDER BY n DESC LIMIT 15

-- [statement 4]
SELECT strftime(TRY_CAST(NULLIF(TRIM(start_date), '') AS DATE), '%Y-%m') AS month, COUNT(*) AS n FROM studio.campaigns WHERE status ILIKE 'cancelled' AND TRY_CAST(NULLIF(TRIM(start_date), '') AS DATE) IS NOT NULL GROUP BY month ORDER BY MIN(TRY_CAST(NULLIF(TRIM(start_date), '') AS DATE))",5,5,4,5,4.75,"[factual_correctness] The platform answer states '504 campaigns are currently in the cancelled state,' which exactly matches the expected answer of 504. The additional breakdown information does not contradict the core fact. [completeness] The judge reference asks for 'a single count of campaigns in the named status.' The platform provides that count (504) clearly and prominently, satisfying the core requirement. The additional breakdowns are supplementary and do not detract from completeness. [format_adherence] The question asks for a count, and the answer leads with the correct count (504). While the response includes extensive additional breakdown tables and commentary beyond what was asked, the primary answer is present and clear. The format is slightly more elaborate than a simple count response, but the core answer is immediately accessible. [sql_plausibility] The primary SQL statement uses COUNT(*) with a WHERE clause filtering on status ILIKE 'cancelled', which is syntactically valid and logically correct for counting cancelled campaigns. The additional statements provide breakdowns by campaign_type, primary_channel, and month, all of which are valid SQL. The set as a whole is plausible and would produce the expected answer.",,,
merged-20260921T124500Z-20260921T153322Z,CRM-T1-02-08,crm,T1,How many campaigns are in the completed state?,2199,"A total of 2,199 campaigns are currently marked as completed. This figure can be broken down by campaign type, primary channel, and completion month to add context.

**By Campaign Type**: Retention accounts for 460 completed campaigns, Awareness for 445, Nurture for 442, CustomerEducation for 434, and Reengagement for 418.

**By Primary Channel**: Email shows 396 completed campaigns, Event shows 371, Social shows 364, Phone shows 361, and Webinar shows 357, with Web (350) also present in the data.

**By Completion Month**: Completions span from May 2023 through June 2026. Early months show smaller counts, such as 3 in 2023-05 and 29 in 2023-06, rising to 165 in 2023-08 and 184 in 2023-09, with several other months (including a spike of 234 in 2024-12 and 174 in 2026-01) and others rounding out the full 31-month series.

A note on interpretation: these figures represent counts of completed campaign records rather than measures of campaign effectiveness or outcomes, and the campaign type and channel categories appear fairly evenly distributed, so no single category stands out as disproportionately represented in this dataset.",pass,1 requirement(s) satisfied,False,not_applicable,not a T3 / outer-join pair,"-- [primary]
SELECT COUNT(*) AS completed_campaigns FROM studio.campaigns WHERE status = 'Completed'

-- [statement 2]
SELECT campaign_type, COUNT(*) AS n FROM studio.campaigns WHERE status = 'Completed' GROUP BY campaign_type ORDER BY n DESC LIMIT 15

-- [statement 3]
SELECT primary_channel, COUNT(*) AS n FROM studio.campaigns WHERE status = 'Completed' GROUP BY primary_channel ORDER BY n DESC LIMIT 15

-- [statement 4]
SELECT strftime(TRY_CAST(NULLIF(TRIM(start_date), '') AS DATE), '%Y-%m') AS month, COUNT(*) AS n FROM studio.campaigns WHERE status = 'Completed' GROUP BY month ORDER BY MIN(TRY_CAST(NULLIF(TRIM(start_date), '') AS DATE))",5,5,5,5,5.0,"[factual_correctness] The platform answer states 2,199 campaigns are in the completed state, which exactly matches the expected answer of 2199. The numeric value is identical. [completeness] The question asks for a single count of campaigns in the completed state. The platform provides that count (2,199) clearly at the start of the response. The additional breakdowns are supplementary and do not detract from completeness. The core answer is fully present. [format_adherence] The judge reference calls for a single count. The platform provides the count prominently in the first sentence, followed by additional breakdowns. The primary answer is present in the correct form (a count), and the extra detail is supplementary rather than obstructive. [sql_plausibility] The primary SQL statement 'SELECT COUNT(*) AS completed_campaigns FROM studio.campaigns WHERE status = 'Completed'' is syntactically valid and logically correct for answering the question. The additional statements provide breakdowns and are also syntactically valid. The set as a whole is plausible and would produce the expected answer.",,,
merged-20260921T124500Z-20260921T153322Z,CRM-T1-02-09,crm,T1,How many campaigns are in the draft state?,487,"There are 487 campaigns currently in the draft state, and this total can be broken down by campaign type, primary channel, and month.

**By Campaign Type:** Awareness campaigns account for 111, Reengagement for 109, Nurture for 91, Retention for 91, and CustomerEducation for 85.

**By Primary Channel:** Webinar campaigns make up 93, Event campaigns 86, Email campaigns 84, Social campaigns 81, and Phone campaigns 72, with the remaining channel (Web) accounting for the rest.

**By Month:** Draft campaigns are spread across several months, with 40 in 2026-05, 36 in 2026-06, 74 in 2026-07, 81 in 2026-08, and 86 in 2026-09, and additional counts in the remaining months (2026-10, 2026-11, 2026-12, and 2027-01).

A note on data quality: these figures represent campaign records in draft status as recorded in the system, and no additional context (such as campaign size, budget, or owner) was provided, so this summary reflects only counts by the dimensions given.",pass,1 requirement(s) satisfied,False,not_applicable,not a T3 / outer-join pair,"-- [primary]
SELECT COUNT(*) AS draft_campaign_count FROM studio.campaigns WHERE status = 'Draft'

-- [statement 2]
SELECT campaign_type, COUNT(*) AS n FROM studio.campaigns WHERE status = 'Draft' GROUP BY campaign_type ORDER BY n DESC LIMIT 15

-- [statement 3]
SELECT primary_channel, COUNT(*) AS n FROM studio.campaigns WHERE status = 'Draft' GROUP BY primary_channel ORDER BY n DESC LIMIT 15

-- [statement 4]
SELECT strftime(TRY_CAST(NULLIF(TRIM(created_at), '') AS DATE), '%Y-%m') AS month, COUNT(*) AS n FROM studio.campaigns WHERE status = 'Draft' GROUP BY month ORDER BY MIN(TRY_CAST(NULLIF(TRIM(created_at), '') AS DATE))",5,5,5,5,5.0,"[factual_correctness] The platform answer states 'There are 487 campaigns currently in the draft state,' which exactly matches the expected answer of 487. The additional breakdown information does not contradict the core fact. [completeness] The judge reference asks for a single count of campaigns in the named status. The platform provides exactly that (487), plus additional breakdowns. The core required value is present and correct. [format_adherence] The question asks for a count, and the answer leads with the count (487) in a clear sentence. The additional breakdowns are extra but do not obscure the answer. The format is acceptable for this type of question. [sql_plausibility] The primary SQL statement 'SELECT COUNT(*) AS draft_campaign_count FROM studio.campaigns WHERE status = 'Draft'' is syntactically valid and logically correct for answering the question. The additional statements for breakdowns are also valid SQL. The set as a whole is plausible and would produce the expected answer.",,,
merged-20260921T124500Z-20260921T153322Z,CRM-T1-02-10,crm,T1,How many campaigns are in the scheduled state?,575,"There are 575 campaigns currently in the scheduled state. This figure fits within a broader status breakdown, where campaigns are also found as Completed (2,199), Active (1,235), Cancelled (504), and Draft (487).

Looking at the scheduled campaigns by campaign type, the counts include Reengagement (130), Retention (128), Awareness (113), Nurture (103), and CustomerEducation (101).

By primary channel, scheduled campaigns are distributed across Webinar (106), Event (102), Web (97), Social (97), and others such as Email and Phone.

**Limitations:** The type and channel breakdowns are presented as provided and may reflect the full campaign set rather than being filtered strictly to scheduled campaigns only; if so, they should be read as general distributional context rather than an exact decomposition of the 575 scheduled campaigns. No timestamp or scheduling-date detail was available to assess how far out these campaigns are planned, and no data quality issues (missing categories, small samples) were evident in the provided results.",pass,1 requirement(s) satisfied,False,not_applicable,not a T3 / outer-join pair,"-- [primary]
SELECT COUNT(*) AS scheduled_campaign_count FROM studio.campaigns WHERE status = 'Scheduled'

-- [statement 2]
SELECT campaign_type, COUNT(*) AS n FROM studio.campaigns WHERE status = 'Scheduled' GROUP BY campaign_type ORDER BY n DESC LIMIT 15

-- [statement 3]
SELECT primary_channel, COUNT(*) AS n FROM studio.campaigns WHERE status = 'Scheduled' GROUP BY primary_channel ORDER BY n DESC LIMIT 15

-- [statement 4]
SELECT status, COUNT(*) AS n FROM studio.campaigns GROUP BY status ORDER BY n DESC LIMIT 15",5,5,5,5,5.0,"[factual_correctness] The platform answer states '575 campaigns currently in the scheduled state,' which exactly matches the expected answer of 575. The additional breakdown information does not contradict the core fact. [completeness] The judge reference asks for 'a single count of campaigns in the named status.' The platform provides exactly that (575), plus additional context. The required value is present and correct. [format_adherence] The question asks for a count, and the answer leads with the count (575) in a clear sentence. The additional breakdowns are supplementary and do not obscure the answer. The format is appropriate. [sql_plausibility] The primary SQL statement 'SELECT COUNT(*) AS scheduled_campaign_count FROM studio.campaigns WHERE status = 'Scheduled'' is syntactically valid and logically correct for answering the question. The additional statements for breakdowns are also valid SQL. The set as a whole is plausible and would produce the expected answer.",,,
